GrainID	Phase	phi1	Phi	phi2
1	Titanium (Alpha)	2.31563062363399	1.14911965363909	1.12671033857889
2	Titanium (Alpha)	5.17499853293146	1.95468648458006	1.72292984235038
3	Titanium (Alpha)	5.2140390762853	2.71820517632575	5.26481022566583
4	Titanium (Alpha)	1.91127347717937	0.640981559303769	1.12076262082502
5	Titanium (Alpha)	4.41697239268806	1.5690201318931	2.49321421112854
6	Titanium (Alpha)	4.74827946538598	2.46235620399675	4.93654649820002
7	Titanium (Alpha)	4.90973587326	2.58425835841973	4.30294232200592
8	Titanium (Alpha)	0.697264284740626	0.516506361364309	2.9967390724492
9	Titanium (Alpha)	6.26919187515889	0.316325289521113	2.69172453454711
10	Titanium (Alpha)	3.86423145721961	2.88573337502847	4.1544338764527
11	Titanium (Alpha)	4.44671361690632	0.385977300578224	0.767264341949247
12	Titanium (Alpha)	5.60667558844946	1.05182723854925	3.16466999975747
13	Titanium (Alpha)	4.62456426742171	0.946166291770013	1.13680734289728
14	Titanium (Alpha)	2.22909553025575	2.68479190595919	0.507316590107161
15	Titanium (Alpha)	1.30877585309264	0.270438197614713	1.68498679280612
16	Titanium (Alpha)	6.01921833088113	2.33184343615698	5.99519553659444
17	Titanium (Alpha)	4.31568920985071	2.57977686106037	4.71333754553574
18	Titanium (Alpha)	2.41313255982885	2.72778070767735	3.84628297816518
19	Titanium (Alpha)	3.56663940080353	0.639643251195092	1.18555178715507
20	Titanium (Alpha)	4.93475050816004	2.7320117332366	5.45854914829204
21	Titanium (Alpha)	3.86337491735281	0.214501912387788	3.6632500676721
22	Titanium (Alpha)	5.98822012412894	0.562660120751636	4.4035536147772
23	Titanium (Alpha)	1.65352493577609	1.83020370108453	5.97933488822301
24	Titanium (Alpha)	5.15066193669003	2.64860678111454	5.23284111339568
25	Titanium (Alpha)	2.09871196036648	0.643098076571102	1.45042405181489
26	Titanium (Alpha)	1.8276391467281	2.01775582240715	5.10413237991671
27	Titanium (Alpha)	0.260613365238107	0.840974566549097	5.37804215127493
28	Titanium (Alpha)	2.94557622441152	0.168605770549173	1.72188707591638
29	Titanium (Alpha)	5.76760791009866	2.72888279975882	5.55144127734586
30	Titanium (Alpha)	1.84556623201333	2.53726933921219	3.21993563567229
31	Titanium (Alpha)	2.98128311076494	0.943721266986255	0.882643714905512
32	Titanium (Alpha)	3.41745403458042	0.795215313344063	4.50436625041958
33	Titanium (Alpha)	1.69245303568932	2.46621447966017	0.298091378927521
34	Titanium (Alpha)	1.088709227255	2.35865848184345	5.90769734576833
35	Titanium (Alpha)	1.3867837842366	0.722646866374877	5.03023256724367
36	Titanium (Alpha)	1.3174047568288	0.824544033993671	4.68637524186336
37	Titanium (Alpha)	4.68542023505092	0.603596034465409	4.94723813559211
38	Titanium (Alpha)	4.99460472055018	0.596501979570412	3.17116981324107
39	Titanium (Alpha)	5.93667208766568	1.83739611420126	2.3873471019699
40	Titanium (Alpha)	5.81799598869972	0.507464646616369	2.60419694229651
41	Titanium (Alpha)	0.989723716190999	2.44726596137393	0.227607873169976
42	Titanium (Alpha)	0.311157912527125	2.33948973890309	5.71485082145501
43	Titanium (Alpha)	1.85186882917732	2.24277429464732	0.575245780592168
44	Titanium (Alpha)	0.738664053370417	1.0486834845154	5.16437639438227
45	Titanium (Alpha)	1.94478696372958	1.13769574245554	5.70135627136238
46	Titanium (Alpha)	4.52941573391895	2.42243848142745	4.39517352066838
47	Titanium (Alpha)	1.78451186069758	0.834758911072277	1.46454330782494
48	Titanium (Alpha)	3.81699405944738	2.55500297789935	4.57222159843884
49	Titanium (Alpha)	1.1520008856979	1.90670125940952	4.75517351130088
50	Titanium (Alpha)	1.81500882616554	2.45063482907998	0.586173369534809
51	Titanium (Alpha)	3.86764254572301	0.490094784733871	0.997988787563088
52	Titanium (Alpha)	3.31157416081871	0.280216146540206	1.60338534886693
53	Titanium (Alpha)	1.82469578896729	2.44672726428547	3.47950898250684
54	Titanium (Alpha)	1.7179620986555	0.664091668900954	1.67302007854727
55	Titanium (Alpha)	2.37168472290772	0.660243748669773	1.09618738404609
56	Titanium (Alpha)	4.826928606084	0.635272593156288	5.51203025953734
57	Titanium (Alpha)	5.6393272163464	0.659929430114007	2.79266567507806
58	Titanium (Alpha)	0.397522248535807	1.14545528190538	2.36707916620862
59	Titanium (Alpha)	2.75197017008781	3.00354710245921	4.07869202247991
60	Titanium (Alpha)	5.80467870561705	2.6914013226529	5.67642390994753
61	Titanium (Alpha)	4.37101482990046	2.1250366320461	4.60358250146624
62	Titanium (Alpha)	6.10644386826635	0.378505628097426	2.28985704691737
63	Titanium (Alpha)	4.70559872358438	1.86858721619101	1.62481544785587
64	Titanium (Alpha)	4.28765603232748	1.13515054175181	0.526347901027219
65	Titanium (Alpha)	5.05455606001065	0.987913951072887	2.48406814290138
66	Titanium (Alpha)	1.85628029837859	0.478749030136374	1.90626653927794
67	Titanium (Alpha)	6.09481407929841	0.429266824579344	5.50754480643633
68	Titanium (Alpha)	0.883638196383942	2.23336367086831	6.02496545642607
69	Titanium (Alpha)	4.99659571147653	1.35502809520943	1.68345739161979
70	Titanium (Alpha)	0.389084199427	2.46627442752423	5.19787856718249
71	Titanium (Alpha)	0.423094153011566	2.40958714525879	6.14499224775544
72	Titanium (Alpha)	4.44277147541273	0.358801845167959	6.25682674732631
73	Titanium (Alpha)	2.27918494426476	0.592159730235575	1.13562537224776
74	Titanium (Alpha)	2.3466995025506	0.486977139718317	1.08137081702755
75	Titanium (Alpha)	1.53192539166768	0.27832197231881	1.79231638121956
